0	0.09	1
1	0.09	0
2	0.07	0
3	0.1	1
4	0.07	0
5	0.05	0
6	0.08	0
7	0.13	1
8	0.05	0
9	0.06	0
10	0.05	0
11	0.12	1
12	0.06	0
13	0.09	0
14	0.15	1
15	0.1	0
16	0.11	1
17	0.09	0
18	0.05	0
19	0.07	0
20	0.09	0
21	0.08	0
22	0.06	0
23	0.05	0
24	0.1	1
25	0.05	0
26	0.12	1
27	0.06	0
28	0.11	1
29	0.06	0
30	0.09	1
31	0.06	0
32	0.13	0
33	0.1	1
34	0.08	0
35	0.05	0
36	0.09	1
37	0.05	0
38	0.05	0
39	0.07	0
40	0.09	1
41	0.06	0
42	0.11	0
43	0.14	1
44	0.05	0
45	0.06	0
46	0.1	1
47	0.1	0
48	0.05	0
49	0.14	1
50	0.05	0
51	0.07	0
52	0.1	0
53	0.07	0
54	0.07	0
55	0.07	0
56	0.11	1
57	0.08	0
58	0.12	1
59	0.06	0
60	0.13	0
61	0.1	1
62	0.07	0
63	0.07	0
64	0.08	0
65	0.06	0
66	0.06	0
67	0.12	0
68	0.07	0
69	0.08	0
70	0.08	0
71	0.05	0
72	0.06	0
73	0.06	0
74	0.08	0
75	0.08	0
76	0.07	0
77	0.09	1
78	0.08	0
79	0.08	0
80	0.06	0
81	0.06	0
82	0.08	0
83	0.05	0
84	0.06	0
85	0.1	1
86	0.06	0
87	0.05	0
88	0.07	0
89	0.11	1
90	0.08	1
91	0.07	0
92	0.09	0
93	0.11	1
94	0.06	0
95	0.06	0
96	0.11	0
97	0.06	0
98	0.05	0
99	0.07	0
100	0.08	0
101	0.07	0
102	0.09	0
103	0.06	0
104	0.07	0
105	0.05	0
106	0.11	0
107	0.11	0
108	0.08	0
109	0.15	1
110	0.07	0
111	0.09	0
112	0.13	1
113	0.06	0
114	0.07	1
115	0.07	0
116	0.09	0
117	0.08	0
118	0.07	0
119	0.09	1
120	0.05	0
121	0.05	0
122	0.07	0
123	0.07	0
124	0.07	0
125	0.11	1
126	0.1	0
127	0.08	0
128	0.07	0
129	0.07	0
130	0.07	0
131	0.12	1
132	0.07	0
133	0.12	1
